wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777710650.3754,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,68.000,0.240,0.000,0.0000,0,0.000,15.70,0.0,0.086,0.460,9.887
1777710650.3954,0.0140,1,0,ACTIVE,8.000,0.0000,512,0.000,5.8000,68.00,68.000,0.270,0.000,0.0000,0,0.000,15.70,0.0,0.110,0.455,9.887
1777710650.4154,0.0340,1,0,ACTIVE,8.000,0.0000,512,0.000,5.8000,68.00,68.000,28.870,2.060,0.1190,-319,-0.093,15.60,0.0,0.244,0.503,9.907
1777710650.4354,0.0540,1,0,ACTIVE,8.000,0.0000,512,0.000,5.8000,68.00,68.000,68.930,5.450,0.0910,-768,-0.223,15.60,0.0,14.029,0.886,9.035
1777710650.4554,0.0740,1,0,ACTIVE,8.000,0.0000,512,0.000,5.8000,68.00,68.000,67.670,4.960,0.0980,-867,-0.251,15.60,0.0,8.475,0.857,11.099
1777710650.4754,0.0940,1,0,ACTIVE,8.000,0.0000,512,0.000,5.7692,68.00,68.000,67.240,5.670,0.1070,-1180,-0.342,15.60,0.0,8.997,0.742,9.112
1777710650.4954,0.1140,1,0,ACTIVE,8.000,0.0000,512,0.000,5.7591,68.00,68.000,67.300,6.260,0.1180,-1568,-0.455,15.60,0.0,9.356,0.814,9.868
1777710650.5154,0.1340,1,0,ACTIVE,8.000,0.0000,512,0.000,5.7456,68.00,68.000,67.230,6.930,0.1290,-2082,-0.604,15.60,0.0,9.136,0.603,9.514
1777710650.5354,0.1540,1,0,ACTIVE,8.000,0.0000,512,0.000,5.7314,68.00,68.000,67.010,7.490,0.1430,-2628,-0.762,15.50,0.0,8.935,0.752,9.222
1777710650.5554,0.1740,1,0,ACTIVE,8.000,0.0000,512,0.000,5.7156,68.00,68.000,67.600,8.210,0.1490,-3234,-0.938,15.50,0.0,9.437,1.025,9.533
1777710650.5754,0.1940,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6995,68.00,68.000,67.110,8.750,0.1600,-3850,-1.117,15.50,0.0,8.575,0.599,9.547
1777710650.5954,0.2140,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6825,68.00,68.000,67.310,9.370,0.1720,-4500,-1.305,15.50,0.0,8.341,0.704,9.543
1777710650.6154,0.2340,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6647,68.00,68.000,67.170,10.020,0.1830,-5184,-1.504,15.50,0.0,8.710,1.216,9.940
1777710650.6354,0.2540,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6473,68.00,68.000,67.350,10.590,0.1920,-5849,-1.697,15.50,0.0,9.145,0.603,9.174
1777710650.6554,0.2740,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6296,68.00,68.000,67.230,11.180,0.2010,-6527,-1.893,15.50,0.0,8.686,0.445,9.160
1777710650.6754,0.2940,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6113,68.00,68.000,67.130,11.800,0.2170,-7230,-2.097,15.50,0.0,9.078,0.689,8.748
1777710650.6954,0.3140,1,0,ACTIVE,8.000,0.0000,512,0.000,5.5928,68.00,68.000,67.450,12.520,0.2260,-7937,-2.302,15.40,0.0,8.781,1.010,10.433
1777710650.7154,0.3340,1,0,ACTIVE,8.000,0.0000,512,0.000,5.5743,68.00,68.000,67.130,13.090,0.2370,-8645,-2.508,15.40,0.0,9.011,0.761,9.112
1777710650.7354,0.3540,1,0,ACTIVE,8.000,0.0000,512,0.000,5.5569,68.00,68.000,67.160,13.560,0.2490,-9313,-2.701,15.40,0.0,9.193,0.508,9.021
1777710650.7554,0.3740,1,0,ACTIVE,8.000,0.0000,512,0.000,5.5345,68.00,68.000,66.900,14.680,0.2660,-10169,-2.950,15.40,0.0,7.335,0.268,10.261
1777710650.7754,0.3940,1,0,ACTIVE,8.000,0.0000,512,0.000,5.5177,68.00,68.000,68.060,15.080,0.2670,-10812,-3.136,15.40,0.0,10.902,2.375,11.515
1777710650.7954,0.4140,1,0,ACTIVE,8.000,0.0000,512,0.000,5.4997,68.00,68.000,67.070,15.540,0.2790,-11504,-3.337,15.30,0.0,7.757,-0.230,7.924
1777710650.8154,0.4340,1,0,ACTIVE,8.000,0.0000,512,0.000,5.4825,68.00,68.000,67.360,16.070,0.2920,-12164,-3.528,15.30,0.0,8.982,0.876,7.369
1777710650.8354,0.4540,1,0,ACTIVE,8.000,0.0000,512,0.000,5.4646,68.00,68.000,67.530,16.860,0.2930,-12847,-3.726,15.30,0.0,8.796,0.594,10.491
1777710650.8554,0.4740,1,0,ACTIVE,8.000,0.0000,512,0.000,5.4459,68.00,68.000,66.350,17.100,0.3220,-13565,-3.935,15.30,0.0,8.125,1.987,9.887
1777710650.8754,0.4940,1,0,ACTIVE,8.000,0.0000,512,0.000,5.4247,68.00,68.000,67.500,18.480,0.3270,-14375,-4.170,15.30,0.0,8.293,-0.259,9.811
1777710650.8954,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,68.000,68.000,18.750,0.3270,-15002,-4.352,15.30,0.0,10.232,0.249,9.643
1777710650.9154,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,68.000,44.970,11.430,0.2380,-15373,-4.459,15.50,0.0,6.502,0.010,9.749
1777710650.9354,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,68.000,20.290,4.460,0.2620,-15650,-4.539,15.60,0.0,-1.743,1.197,12.363
1777710650.9554,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,68.000,21.140,4.850,0.2780,-15909,-4.615,15.60,0.0,3.878,0.546,7.503
1777710650.9754,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,68.000,28.550,6.840,0.2860,-16173,-4.691,15.50,0.0,2.959,1.087,11.333
1777710650.9954,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,68.000,33.410,8.280,0.2970,-16448,-4.771,15.50,0.0,4.237,0.412,8.437
1777710651.0154,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,68.000,37.700,9.690,0.3060,-16768,-4.864,15.50,0.0,4.022,0.268,11.702
