%time,field.header.seq,field.header.stamp,field.header.frame_id,field.need_vel_planner,field.state
5978952000000,206412,5978950000000,,0,GB_TRACK
5978968000000,206413,5978967000000,,0,GB_TRACK
5978968000000,206414,5978967000000,,0,GB_TRACK
5978985000000,206415,5978984000000,,0,GB_TRACK
5979002000000,206416,5979001000000,,0,GB_TRACK
5979019000000,206417,5979018000000,,0,GB_TRACK
5979019000000,206418,5979018000000,,0,GB_TRACK
5979019000000,206419,5979035000000,,0,GB_TRACK
5979036000000,206420,5979052000000,,0,GB_TRACK
5979061000000,206421,5979064000000,,0,GB_TRACK
5979078000000,206422,5979081000000,,0,GB_TRACK
5979078000000,206423,5979081000000,,0,GB_TRACK
5979095000000,206424,5979098000000,,0,GB_TRACK
5979112000000,206425,5979115000000,,0,GB_TRACK
5979129000000,206426,5979132000000,,0,GB_TRACK
5979129000000,206427,5979132000000,,0,GB_TRACK
5979146000000,206428,5979149000000,,0,GB_TRACK
5979155000000,206429,5979155000000,,0,GB_TRACK
5979183000000,206430,5979179000000,,0,GB_TRACK
5979183000000,206431,5979179000000,,0,GB_TRACK
5979199000000,206432,5979196000000,,0,GB_TRACK
5979216000000,206433,5979213000000,,0,GB_TRACK
5979231000000,206434,5979230000000,,0,GB_TRACK
5979245000000,206435,5979230000000,,0,GB_TRACK
5979245000000,206436,5979245000000,,0,GB_TRACK
5979257000000,206437,5979257000000,,0,GB_TRACK
5979273000000,206438,5979276000000,,0,GB_TRACK
5979285000000,206439,5979290000000,,0,GB_TRACK
5979302000000,206440,5979306000000,,0,GB_TRACK
5979302000000,206441,5979306000000,,0,GB_TRACK
5979319000000,206442,5979321000000,,0,GB_TRACK
5979334000000,206443,5979338000000,,0,GB_TRACK
5979346000000,206444,5979346000000,,0,GB_TRACK
5979356000000,206445,5979356000000,,0,GB_TRACK
5979375000000,206446,5979375000000,,0,GB_TRACK
5979390000000,206447,5979385000000,,0,GB_TRACK
5979403000000,206448,5979398000000,,0,GB_TRACK
5979403000000,206449,5979412000000,,0,GB_TRACK
5979430000000,206450,5979426000000,,0,GB_TRACK
5979443000000,206451,5979438000000,,0,GB_TRACK
5979449000000,206452,5979449000000,,0,GB_TRACK
5979457000000,206453,5979457000000,,0,GB_TRACK
5979467000000,206454,5979467000000,,0,GB_TRACK
5979480000000,206455,5979481000000,,0,GB_TRACK
5979494000000,206456,5979494000000,,0,GB_TRACK
5979518000000,206457,5979515000000,,0,GB_TRACK
5979527000000,206458,5979523000000,,0,GB_TRACK
5979535000000,206459,5979535000000,,0,GB_TRACK
5979551000000,206460,5979547000000,,0,GB_TRACK
5979551000000,206461,5979556000000,,0,GB_TRACK
5979581000000,206462,5979577000000,,0,GB_TRACK
5979581000000,206463,5979586000000,,0,GB_TRACK
5979594000000,206464,5979597000000,,0,GB_TRACK
5979605000000,206465,5979610000000,,0,GB_TRACK
5979620000000,206466,5979623000000,,0,GB_TRACK
5979648000000,206467,5979636000000,,0,GB_TRACK
5979648000000,206468,5979648000000,,0,GB_TRACK
5979655000000,206469,5979655000000,,0,GB_TRACK
5979674000000,206470,5979674000000,,0,GB_TRACK
5979674000000,206471,5979686000000,,0,GB_TRACK
5979690000000,206472,5979702000000,,0,GB_TRACK
5979707000000,206473,5979713000000,,0,GB_TRACK
5979722000000,206474,5979726000000,,0,GB_TRACK
5979735000000,206475,5979738000000,,0,GB_TRACK
5979746000000,206476,5979746000000,,0,GB_TRACK
5979759000000,206477,5979759000000,,0,GB_TRACK
5979771000000,206478,5979776000000,,0,GB_TRACK
5979784000000,206479,5979792000000,,0,GB_TRACK
5979784000000,206480,5979792000000,,0,GB_TRACK
5979801000000,206481,5979806000000,,0,GB_TRACK
5979818000000,206482,5979821000000,,0,GB_TRACK
5979834000000,206483,5979838000000,,0,GB_TRACK
5979851000000,206484,5979851000000,,0,GB_TRACK
5979869000000,206485,5979869000000,,0,GB_TRACK
5979869000000,206486,5979869000000,,0,GB_TRACK
5979903000000,206487,5979903000000,,0,GB_TRACK
5979903000000,206488,5979903000000,,0,GB_TRACK
5979920000000,206489,5979920000000,,0,GB_TRACK
5979920000000,206490,5979920000000,,0,GB_TRACK
5979937000000,206491,5979937000000,,0,GB_TRACK
5979949000000,206492,5979949000000,,0,GB_TRACK
5979966000000,206493,5979966000000,,0,GB_TRACK
5980000000000,206494,5980000000000,,0,GB_TRACK
5980000000000,206495,5980000000000,,0,GB_TRACK
5980000000000,206496,5980000000000,,0,GB_TRACK
5980017000000,206497,5980017000000,,0,GB_TRACK
5980017000000,206498,5980017000000,,0,GB_TRACK
5980034000000,206499,5980034000000,,0,GB_TRACK
5980051000000,206500,5980051000000,,0,GB_TRACK
5980085000000,206501,5980085000000,,0,GB_TRACK
5980085000000,206502,5980085000000,,0,GB_TRACK
5980119000000,206503,5980119000000,,0,GB_TRACK
5980119000000,206504,5980119000000,,0,GB_TRACK
5980136000000,206505,5980136000000,,0,GB_TRACK
5980151000000,206506,5980151000000,,0,GB_TRACK
5980168000000,206507,5980168000000,,0,GB_TRACK
5980185000000,206508,5980185000000,,0,GB_TRACK
5980185000000,206509,5980185000000,,0,GB_TRACK
5980202000000,206510,5980202000000,,0,GB_TRACK
5980219000000,206511,5980219000000,,0,GB_TRACK
5980219000000,206512,5980219000000,,0,GB_TRACK
5980236000000,206513,5980236000000,,0,GB_TRACK
5980253000000,206514,5980253000000,,0,GB_TRACK
5980270000000,206515,5980270000000,,0,GB_TRACK
5980270000000,206516,5980270000000,,0,GB_TRACK
5980287000000,206517,5980287000000,,0,GB_TRACK
5980304000000,206518,5980304000000,,0,GB_TRACK
5980321000000,206519,5980321000000,,0,GB_TRACK
5980321000000,206520,5980321000000,,0,GB_TRACK
5980338000000,206521,5980338000000,,0,GB_TRACK
5980355000000,206522,5980355000000,,0,GB_TRACK
5980372000000,206523,5980372000000,,0,GB_TRACK
5980372000000,206524,5980372000000,,0,GB_TRACK
5980389000000,206525,5980389000000,,0,GB_TRACK
5980406000000,206526,5980406000000,,0,GB_TRACK
5980406000000,206527,5980423000000,,0,GB_TRACK
5980406000000,206528,5980423000000,,0,GB_TRACK
5980423000000,206529,5980440000000,,0,GB_TRACK
5980457000000,206530,5980457000000,,0,GB_TRACK
5980457000000,206531,5980457000000,,0,GB_TRACK
5980474000000,206532,5980474000000,,0,GB_TRACK
5980491000000,206533,5980491000000,,0,GB_TRACK
5980542000000,206534,5980508000000,,0,GB_TRACK
5980542000000,206535,5980525000000,,0,GB_TRACK
5980542000000,206536,5980525000000,,0,GB_TRACK
5980542000000,206537,5980542000000,,0,GB_TRACK
5980555000000,206538,5980559000000,,0,GB_TRACK
5980572000000,206539,5980559000000,,0,GB_TRACK
5980589000000,206540,5980593000000,,0,GB_TRACK
5980589000000,206541,5980593000000,,0,GB_TRACK
5980606000000,206542,5980610000000,,0,GB_TRACK
5980606000000,206543,5980610000000,,0,GB_TRACK
5980623000000,206544,5980627000000,,0,GB_TRACK
5980640000000,206545,5980644000000,,0,GB_TRACK
5980640000000,206546,5980644000000,,0,GB_TRACK
5980657000000,206547,5980661000000,,0,GB_TRACK
5980674000000,206548,5980678000000,,0,GB_TRACK
5980691000000,206549,5980695000000,,0,GB_TRACK
5980708000000,206550,5980695000000,,0,GB_TRACK
5980708000000,206551,5980712000000,,0,GB_TRACK
5980742000000,206552,5980746000000,,0,GB_TRACK
5980742000000,206553,5980746000000,,0,GB_TRACK
5980742000000,206554,5980746000000,,0,GB_TRACK
5980759000000,206555,5980763000000,,0,GB_TRACK
5980776000000,206556,5980780000000,,0,GB_TRACK
5980810000000,206557,5980797000000,,0,GB_TRACK
5980810000000,206558,5980797000000,,0,GB_TRACK
5980810000000,206559,5980814000000,,0,GB_TRACK
5980827000000,206560,5980831000000,,0,GB_TRACK
5980844000000,206561,5980848000000,,0,GB_TRACK
5980844000000,206562,5980848000000,,0,GB_TRACK
5980861000000,206563,5980865000000,,0,GB_TRACK
5980895000000,206564,5980899000000,,0,GB_TRACK
5980912000000,206565,5980899000000,,0,GB_TRACK
5980912000000,206566,5980916000000,,0,GB_TRACK
5980912000000,206567,5980933000000,,0,GB_TRACK
5980946000000,206568,5980950000000,,0,GB_TRACK
5980963000000,206569,5980967000000,,0,GB_TRACK
5980980000000,206570,5980984000000,,0,GB_TRACK
5980980000000,206571,5980984000000,,0,GB_TRACK
5980997000000,206572,5981001000000,,0,GB_TRACK
5981031000000,206573,5981018000000,,0,GB_TRACK
5981048000000,206574,5981052000000,,0,GB_TRACK
5981048000000,206575,5981052000000,,0,GB_TRACK
5981048000000,206576,5981052000000,,0,GB_TRACK
5981068000000,206577,5981072000000,,0,GB_TRACK
5981068000000,206578,5981072000000,,0,GB_TRACK
5981085000000,206579,5981089000000,,0,GB_TRACK
5981119000000,206580,5981106000000,,0,GB_TRACK
5981136000000,206581,5981140000000,,0,GB_TRACK
5981136000000,206582,5981140000000,,0,GB_TRACK
5981136000000,206583,5981140000000,,0,GB_TRACK
5981153000000,206584,5981157000000,,0,GB_TRACK
5981170000000,206585,5981174000000,,0,GB_TRACK
5981170000000,206586,5981174000000,,0,GB_TRACK
5981187000000,206587,5981191000000,,0,GB_TRACK
5981221000000,206588,5981208000000,,0,GB_TRACK
5981221000000,206589,5981208000000,,0,GB_TRACK
5981238000000,206590,5981242000000,,0,GB_TRACK
5981238000000,206591,5981242000000,,0,GB_TRACK
5981255000000,206592,5981259000000,,0,GB_TRACK
5981272000000,206593,5981259000000,,0,GB_TRACK
5981289000000,206594,5981276000000,,0,GB_TRACK
5981306000000,206595,5981293000000,,0,GB_TRACK
5981306000000,206596,5981310000000,,0,GB_TRACK
5981306000000,206597,5981310000000,,0,GB_TRACK
5981323000000,206598,5981327000000,,0,GB_TRACK
5981340000000,206599,5981344000000,,0,GB_TRACK
5981357000000,206600,5981361000000,,0,GB_TRACK
5981357000000,206601,5981361000000,,0,GB_TRACK
5981374000000,206602,5981378000000,,0,GB_TRACK
5981391000000,206603,5981395000000,,0,GB_TRACK
5981425000000,206604,5981429000000,,0,GB_TRACK
5981425000000,206605,5981429000000,,0,GB_TRACK
5981425000000,206606,5981429000000,,0,GB_TRACK
5981442000000,206607,5981446000000,,0,GB_TRACK
5981442000000,206608,5981446000000,,0,GB_TRACK
5981459000000,206609,5981463000000,,0,GB_TRACK
5981476000000,206610,5981480000000,,0,GB_TRACK
5981510000000,206611,5981514000000,,0,GB_TRACK
5981510000000,206612,5981514000000,,0,GB_TRACK
5981510000000,206613,5981514000000,,0,GB_TRACK
5981527000000,206614,5981531000000,,0,GB_TRACK
5981544000000,206615,5981548000000,,0,GB_TRACK
5981544000000,206616,5981548000000,,0,GB_TRACK
5981578000000,206617,5981565000000,,0,GB_TRACK
5981578000000,206618,5981582000000,,0,GB_TRACK
5981612000000,206619,5981599000000,,0,GB_TRACK
5981612000000,206620,5981599000000,,0,GB_TRACK
5981629000000,206621,5981633000000,,0,GB_TRACK
5981629000000,206622,5981633000000,,0,GB_TRACK
5981629000000,206623,5981650000000,,0,GB_TRACK
5981646000000,206624,5981650000000,,0,GB_TRACK
5981663000000,206625,5981667000000,,0,GB_TRACK
5981680000000,206626,5981718000000,,0,GB_TRACK
5981680000000,206627,5981718000000,,0,GB_TRACK
5981731000000,206628,5981735000000,,0,GB_TRACK
5981748000000,206629,5981752000000,,0,GB_TRACK
5981782000000,206630,5981769000000,,0,GB_TRACK
5981782000000,206631,5981769000000,,0,GB_TRACK
5981782000000,206632,5981786000000,,0,GB_TRACK
5981799000000,206633,5981803000000,,0,GB_TRACK
5981816000000,206634,5981820000000,,0,GB_TRACK
5981816000000,206635,5981820000000,,0,GB_TRACK
5981850000000,206636,5981837000000,,0,GB_TRACK
5981850000000,206637,5981854000000,,0,GB_TRACK
5981867000000,206638,5981871000000,,0,GB_TRACK
5981867000000,206639,5981871000000,,0,GB_TRACK
5981901000000,206640,5981888000000,,0,GB_TRACK
5981901000000,206641,5981905000000,,0,GB_TRACK
5981918000000,206642,5981922000000,,0,GB_TRACK
5981952000000,206643,5981922000000,,0,GB_TRACK
5981952000000,206644,5981939000000,,0,GB_TRACK
