%time,field.data
5978952000000,OK obs=stale
5978952000000,OK obs=stale
5978985000000,OK obs=stale
5979019000000,OK obs=stale
5979053000000,OK obs=stale
5979095000000,OK obs=stale
5979129000000,OK obs=stale
5979155000000,OK obs=stale
5979199000000,OK obs=stale
5979245000000,OK obs=stale
5979257000000,OK obs=stale
5979285000000,OK obs=stale
5979319000000,OK obs=stale
5979375000000,OK obs=stale
5979403000000,OK obs=stale
5979430000000,OK obs=stale
5979449000000,OK obs=stale
5979505000000,OK obs=stale
5979527000000,OK obs=stale
5979551000000,OK obs=stale
5979605000000,OK obs=stale
5979636000000,OK obs=stale
5979655000000,OK obs=stale
5979707000000,OK obs=stale
5979735000000,OK obs=stale
5979747000000,OK obs=stale
5979784000000,OK obs=stale
5979818000000,OK obs=stale
5979852000000,OK obs=stale
5979920000000,OK obs=stale
5979937000000,OK obs=stale
5979949000000,OK obs=stale
5980000000000,OK obs=stale
5980017000000,OK obs=stale
5980051000000,OK obs=stale
5980119000000,OK obs=stale
5980136000000,OK obs=stale
5980151000000,OK obs=stale
5980185000000,OK obs=stale
5980219000000,OK obs=stale
5980287000000,OK obs=stale
5980304000000,OK obs=stale
5980338000000,OK obs=stale
5980372000000,OK obs=stale
5980389000000,OK obs=stale
5980423000000,OK obs=stale
5980474000000,OK obs=stale
5980491000000,OK obs=stale
5980542000000,OK obs=stale
5980555000000,OK obs=stale
5980589000000,OK obs=stale
5980623000000,OK obs=stale
5980657000000,OK obs=stale
5980674000000,OK obs=stale
5980708000000,OK obs=stale
5980759000000,OK obs=stale
5980793000000,OK obs=stale
5980827000000,OK obs=stale
5980912000000,OK obs=stale
5980912000000,OK obs=stale
5980946000000,OK obs=stale
5980980000000,OK obs=stale
5980997000000,OK obs=stale
5981048000000,OK obs=stale
5981068000000,OK obs=stale
5981085000000,OK obs=stale
5981119000000,OK obs=stale
5981153000000,OK obs=stale
5981221000000,OK obs=stale
5981238000000,OK obs=stale
5981255000000,OK obs=stale
5981289000000,OK obs=stale
5981323000000,OK obs=stale
5981340000000,OK obs=stale
5981391000000,OK obs=stale
5981425000000,OK obs=stale
5981459000000,OK obs=stale
5981476000000,OK obs=stale
5981527000000,OK obs=stale
5981578000000,OK obs=stale
5981578000000,OK obs=stale
5981646000000,OK obs=stale
5981646000000,OK obs=stale
5981714000000,OK obs=stale
5981748000000,OK obs=stale
5981765000000,OK obs=stale
5981816000000,OK obs=stale
5981833000000,OK obs=stale
5981867000000,OK obs=stale
5981918000000,OK obs=stale
5981952000000,OK obs=stale
5981969000000,OK obs=stale
5981986000000,OK obs=stale
5982054000000,OK obs=stale
5982071000000,OK obs=stale
5982105000000,OK obs=stale
5982139000000,OK obs=stale
5982156000000,OK obs=stale
5982224000000,OK obs=stale
5982241000000,OK obs=stale
5982258000000,OK obs=stale
5982295000000,OK obs=stale
5982346000000,OK obs=stale
5982363000000,OK obs=stale
5982397000000,OK obs=stale
5982414000000,OK obs=stale
5982448000000,OK obs=stale
5982533000000,OK obs=merge:P20+T0:2
5982533000000,OK obs=merge:P20+T0:2
5982550000000,OK obs=merge:P20+T0:2
5982601000000,OK obs=merge:P20+T0:2
5982635000000,OK obs=merge:P20+T0:2
5982652000000,OK obs=merge:P20+T0:2
5982687000000,OK obs=merge:P20+T0:2
5982755000000,OK obs=merge:P20+T0:2
5982772000000,OK obs=merge:P20+T0:2
5982789000000,OK obs=merge:P20+T0:2
5982857000000,OK obs=merge:P20+T0:2
5982857000000,OK obs=merge:P20+T0:2
5982892000000,OK obs=merge:P20+T0:2
5982926000000,OK obs=merge:P20+T0:2
5982943000000,OK obs=merge:P20+T0:2
