%time,field.data
5979771000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 27.0, "rc_age_ms": 27.0, "n_wpnts": 80}
5979784000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 43.0, "rc_age_ms": 43.0, "n_wpnts": 80}
5979784000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 43.0, "rc_age_ms": 43.0, "n_wpnts": 80}
5979801000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 57.0, "rc_age_ms": 57.0, "n_wpnts": 80}
5979818000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
5979834000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 51.0, "rc_age_ms": 51.0, "n_wpnts": 80}
5979851000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
5979869000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 17.0, "rc_age_ms": 17.0, "n_wpnts": 80}
5979869000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 17.0, "rc_age_ms": 17.0, "n_wpnts": 80}
5979903000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 51.0, "rc_age_ms": 51.0, "n_wpnts": 80}
5979903000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 51.0, "rc_age_ms": 51.0, "n_wpnts": 80}
5979920000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 68.0, "rc_age_ms": 68.0, "n_wpnts": 80}
5979920000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 68.0, "rc_age_ms": 68.0, "n_wpnts": 80}
5979937000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 40.0, "rc_age_ms": 40.0, "n_wpnts": 80}
5979949000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 18.0, "rc_age_ms": 18.0, "n_wpnts": 80}
5979966000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 17.0, "rc_age_ms": 17.0, "n_wpnts": 80}
5980000000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 51.0, "rc_age_ms": 51.0, "n_wpnts": 80}
5980000000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 51.0, "rc_age_ms": 51.0, "n_wpnts": 80}
5980000000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 51.0, "rc_age_ms": 51.0, "n_wpnts": 80}
5980017000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 68.0, "rc_age_ms": 68.0, "n_wpnts": 80}
5980017000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 9.0, "rc_age_ms": 9.0, "n_wpnts": 80}
5980034000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 26.0, "rc_age_ms": 26.0, "n_wpnts": 80}
5980051000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 26.0, "rc_age_ms": 26.0, "n_wpnts": 80}
5980085000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 26.0, "rc_age_ms": 26.0, "n_wpnts": 80}
5980085000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 26.0, "rc_age_ms": 26.0, "n_wpnts": 80}
5980119000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 60.0, "rc_age_ms": 60.0, "n_wpnts": 80}
5980119000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 60.0, "rc_age_ms": 60.0, "n_wpnts": 80}
5980136000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 43.0, "rc_age_ms": 43.0, "n_wpnts": 80}
5980151000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 7.0, "rc_age_ms": 7.0, "n_wpnts": 80}
5980168000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 17.0, "rc_age_ms": 17.0, "n_wpnts": 80}
5980185000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
5980185000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
5980219000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
