,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,3.455837,0.428888,-0.120478,0.531173,8.898681,6.606864,-0.144862,15.528496
1,0.199722,3.485300,0.409996,-0.126612,0.819425,8.892361,6.397747,-1.355134,15.528496
2,0.399445,3.528272,0.390410,-0.124665,1.105127,8.831845,6.432970,-1.907958,15.528496
3,0.599167,3.583418,0.370581,-0.130514,1.389537,8.747492,6.466959,-2.222702,15.528496
4,0.798890,3.650092,0.348894,-0.147117,1.671277,8.650657,6.353075,-2.488666,15.528496
5,0.998612,3.728541,0.323678,-0.170153,1.946781,8.542735,6.091789,-2.781074,15.528496
6,1.198334,3.818914,0.293782,-0.196915,2.211566,8.421853,5.708869,-3.066814,15.528496
7,1.398057,3.921349,0.258262,-0.224706,2.461827,8.287413,5.298888,-3.175044,15.528496
8,1.597779,4.036200,0.216633,-0.248565,2.697732,8.146061,4.913762,-3.121961,15.528496
9,1.797501,4.163456,0.169461,-0.263018,2.920338,8.004628,4.602542,-2.949361,15.528496
10,1.997224,4.302116,0.118754,-0.263353,3.131254,7.869470,4.346509,-2.786035,15.528496
11,2.196946,4.449740,0.067852,-0.249562,3.329873,7.742159,4.068595,-2.752145,15.528496
12,2.396669,4.603195,0.019483,-0.232522,3.512369,7.618712,3.392941,-3.241100,15.528496
13,2.596391,4.760508,-0.026917,-0.226021,3.661181,7.476560,2.633833,-3.746003,15.528496
14,2.796113,4.920688,-0.073888,-0.228905,3.774655,7.315170,1.874969,-4.227802,15.528496
15,2.995836,5.081573,-0.121776,-0.227014,3.853742,7.136838,1.130285,-4.732195,15.528496
16,3.195558,5.239795,-0.167852,-0.211719,3.899872,6.943707,0.382455,-5.245662,15.528496
17,3.395281,5.393226,-0.209291,-0.187171,3.914890,6.737725,-0.373607,-5.728478,15.528496
18,3.595003,5.541353,-0.245137,-0.160537,3.900728,6.520585,-1.130290,-6.181561,15.528496
19,3.794725,5.683760,-0.275379,-0.134168,3.859243,6.293704,-1.881290,-6.608066,15.528496
20,3.994448,5.820064,-0.300184,-0.108772,3.792216,6.058269,-2.616659,-6.996090,15.528496
21,4.194170,5.950197,-0.319980,-0.085725,3.701334,5.815282,-3.332298,-7.354275,15.528496
22,4.393892,6.073945,-0.335341,-0.065266,3.588195,5.565587,-4.033888,-7.705929,15.528496
23,4.593615,6.190777,-0.346647,-0.045922,3.454355,5.309912,-4.724062,-8.059760,15.528496
24,4.793337,6.300172,-0.353941,-0.025972,3.301363,5.048891,-5.394362,-8.404022,15.528496
