,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,2.823167,0.478054,-0.125129,0.115009,7.012371,6.040540,-0.641940,16.632638
1,0.199722,2.837062,0.460326,-0.115983,0.425551,6.979369,5.952201,-1.082481,16.632638
2,0.399445,2.867800,0.444281,-0.098291,0.739600,6.922256,6.021027,-1.547260,16.632638
3,0.599167,2.914312,0.430380,-0.089812,1.052193,6.841927,6.069219,-1.985801,16.632638
4,0.798890,2.975306,0.416813,-0.094506,1.359220,6.741470,5.992067,-2.372301,16.632638
5,0.998612,3.050253,0.401747,-0.108339,1.657004,6.623575,5.787136,-2.741692,16.632638
6,1.198334,3.138567,0.383858,-0.128774,1.941090,6.488987,5.464676,-3.073775,16.632638
7,1.398057,3.239776,0.362024,-0.153057,2.207710,6.339019,5.082780,-3.238531,16.632638
8,1.597779,3.354021,0.335520,-0.175834,2.456694,6.180377,4.681081,-3.249472,16.632638
9,1.797501,3.481520,0.304476,-0.191055,2.688682,6.019338,4.309147,-3.142530,16.632638
10,1.997224,3.621865,0.270212,-0.193377,2.904917,5.861644,3.984726,-3.019525,16.632638
11,2.196946,3.772955,0.235329,-0.182414,3.105262,5.709828,3.708637,-2.974851,16.632638
12,2.396669,3.930434,0.202241,-0.169382,3.287964,5.563274,3.429848,-3.017012,16.632638
13,2.596391,4.090466,0.170486,-0.168543,3.450867,5.419979,3.045330,-3.111271,16.632638
14,2.796113,4.252540,0.137421,-0.178231,3.591047,5.276764,2.763532,-2.997194,16.632638
15,2.995836,4.417585,0.102027,-0.182999,3.715890,5.141366,2.600195,-2.759121,16.632638
16,3.195558,4.584825,0.066426,-0.173356,3.831129,5.019083,1.750166,-3.213950,16.632638
17,3.395281,4.751503,0.033612,-0.153647,3.906530,4.880619,0.911147,-3.658435,16.632638
18,3.595003,4.915077,0.004993,-0.131550,3.944497,4.728174,0.075070,-4.081652,16.632638
19,3.794725,5.074113,-0.019216,-0.109589,3.947523,4.563671,-0.755207,-4.480744,16.632638
20,3.994448,5.227642,-0.039075,-0.088520,3.918041,4.388750,-1.574259,-4.853774,16.632638
21,4.194170,5.374998,-0.054911,-0.069792,3.858379,4.204801,-2.376273,-5.200933,16.632638
22,4.393892,5.515670,-0.067262,-0.053641,3.770748,4.013003,-3.157640,-5.526461,16.632638
23,4.593615,5.649163,-0.076506,-0.038518,3.657252,3.814364,-3.915642,-5.833555,16.632638
24,4.793337,5.775034,-0.082656,-0.022631,3.519909,3.609750,-4.645510,-6.121155,16.632638
25,4.993060,5.892973,-0.085470,-0.005259,3.360652,3.399905,-5.339767,-6.385044,16.632638
26,5.192782,6.002824,-0.084711,0.012861,3.181325,3.185474,-5.990664,-6.621552,16.632638
27,5.392504,6.104524,-0.080402,0.029938,2.983677,2.967011,-6.596433,-6.833836,16.632638
28,5.592227,6.197976,-0.072876,0.045115,2.769374,2.744995,-7.159060,-7.027889,16.632638
29,5.791949,6.283023,-0.062427,0.059442,2.540022,2.519846,-7.675262,-7.203459,16.632638
30,5.991672,6.359547,-0.049090,0.074141,2.297180,2.291932,-8.138817,-7.357399,16.632638
31,6.191394,6.427481,-0.032727,0.089656,2.042360,2.061577,-8.543548,-7.486698,16.632638
32,6.391116,6.486789,-0.013316,0.103521,1.777029,1.829068,-8.895940,-7.599304,16.632638
