,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,3.114967,0.429575,-0.110906,0.396269,7.876747,6.746086,-0.742637,16.023612
1,0.199722,3.141947,0.412892,-0.107615,0.721844,7.840906,6.645140,-1.138499,16.023612
2,0.399445,3.185514,0.397046,-0.096980,1.048845,7.784882,6.675953,-1.522805,16.023612
3,0.599167,3.244109,0.382291,-0.095430,1.372014,7.711166,6.662897,-1.883135,16.023612
4,0.798890,3.316411,0.366813,-0.106320,1.686984,7.622146,6.511627,-2.199563,16.023612
5,0.998612,3.401999,0.348813,-0.125475,1.990110,7.519753,6.228993,-2.526427,16.023612
6,1.198334,3.500405,0.327008,-0.150218,2.277384,7.403237,5.828316,-2.843747,16.023612
7,1.398057,3.611278,0.300323,-0.177751,2.545366,7.272484,5.378230,-2.995685,16.023612
8,1.597779,3.734736,0.268112,-0.202853,2.794076,7.133951,4.929935,-2.984661,16.023612
9,1.797501,3.870767,0.230666,-0.219673,3.024584,6.994398,4.537526,-2.842048,16.023612
10,1.997224,4.018544,0.189563,-0.223065,3.238702,6.860287,4.203107,-2.684955,16.023612
11,2.196946,4.175670,0.147698,-0.212683,3.436572,6.733887,3.899863,-2.608204,16.023612
12,2.396669,4.338331,0.107626,-0.199439,3.616454,6.613583,3.546651,-2.642707,16.023612
13,2.596391,4.503805,0.068887,-0.197264,3.775248,6.495261,2.954627,-2.918522,16.023612
14,2.796113,4.671526,0.028935,-0.204738,3.904306,6.367781,2.153379,-3.387757,16.023612
15,2.995836,4.840589,-0.012906,-0.207144,3.996463,6.222796,1.362970,-3.846272,16.023612
16,3.195558,5.008323,-0.054192,-0.195541,4.053264,6.062505,0.579112,-4.308307,16.023612
17,3.395281,5.172127,-0.091978,-0.174211,4.076600,5.888894,-0.207059,-4.755046,16.023612
18,3.595003,5.330728,-0.125040,-0.150551,4.068537,5.703714,-0.992399,-5.179260,16.023612
19,3.794725,5.483403,-0.153236,-0.126995,4.031124,5.508461,-1.771470,-5.580239,16.023612
20,3.994448,5.629633,-0.176656,-0.104272,3.966343,5.304397,-2.536258,-5.951276,16.023612
21,4.194170,5.769191,-0.195653,-0.083799,3.876076,5.092588,-3.281801,-6.296111,16.023612
22,4.393892,5.901819,-0.210766,-0.065820,3.762107,4.873939,-4.009843,-6.627794,16.023612
23,4.593615,6.027070,-0.222354,-0.048829,3.626151,4.649220,-4.721043,-6.952341,16.023612
24,4.793337,6.144508,-0.230427,-0.031076,3.469888,4.419102,-5.408850,-7.263854,16.023612
25,4.993060,6.253908,-0.234756,-0.011856,3.294944,4.184160,-6.060042,-7.549300,16.023612
26,5.192782,6.355296,-0.235132,0.008106,3.102874,3.944889,-6.660774,-7.797341,16.023612
27,5.392504,6.448829,-0.231588,0.027042,2.895138,3.701706,-7.213140,-8.016290,16.023612
28,5.592227,6.534524,-0.224454,0.044101,2.673118,3.454965,-7.730245,-8.224675,16.023612
29,5.791949,6.612204,-0.214026,0.060312,2.438153,3.204971,-8.211032,-8.423637,16.023612
30,5.991672,6.681726,-0.200355,0.076878,2.191553,2.951987,-8.645102,-8.604633,16.023612
31,6.191394,6.743044,-0.183320,0.094238,1.934605,2.696240,-9.007072,-8.744983,16.023612
32,6.391116,6.796261,-0.162868,0.109948,1.668547,2.437925,-9.297474,-8.848257,16.023612
33,6.590839,6.841390,-0.139650,0.120680,1.394585,2.177200,-9.549734,-8.948424,16.023612
34,6.790561,6.878253,-0.114724,0.126538,1.113914,1.914201,-9.772112,-9.054168,16.023612
35,6.990283,6.906684,-0.088936,0.129267,0.827737,1.649049,-9.960303,-9.162217,16.023612
36,7.190006,6.926588,-0.062708,0.131827,0.537262,1.381849,-10.097071,-9.257447,16.023612
37,7.389728,6.937941,-0.035799,0.136260,0.243695,1.112694,-10.169293,-9.328549,16.023612
38,7.589451,6.940729,-0.007847,0.142038,-0.051765,0.841660,-10.179288,-9.378154,16.023612
39,7.789173,6.934915,0.021346,0.148173,-0.347919,0.568815,-10.135024,-9.413871,16.023612
40,7.988895,6.920454,0.051678,0.152603,-0.643558,0.294212,-10.044805,-9.443558,16.023612
41,8.188618,6.897324,0.082617,0.154294,-0.937462,0.017900,-9.905211,-9.464057,16.023612
42,8.388340,6.865517,0.113679,0.153963,-1.228395,-0.260075,-9.715498,-9.474478,16.023612
43,8.588063,6.825036,0.144478,0.151823,-1.515104,-0.539672,-9.476927,-9.475667,16.023612
44,8.787785,6.775905,0.174630,0.147782,-1.796319,-0.820849,-9.189313,-9.466885,16.023612
45,8.987507,6.718163,0.203738,0.141808,-2.070743,-1.103563,-8.842070,-9.436244,16.023612
46,9.187230,6.651785,0.231505,0.134864,-2.337051,-1.387766,-8.430153,-9.376362,16.023612
47,9.386952,6.576677,0.257913,0.128030,-2.593869,-1.673410,-7.973692,-9.307200,16.023612
48,9.586674,6.492892,0.282918,0.120447,-2.839773,-1.960438,-7.489876,-9.247891,16.023612
49,9.786397,6.400709,0.306106,0.110146,-3.073301,-2.248780,-6.970788,-9.188922,16.023612
50,9.986119,6.300401,0.326780,0.096212,-3.292969,-2.538347,-6.398062,-9.104550,16.023612
51,10.185842,6.192005,0.344303,0.079351,-3.497240,-2.829029,-5.781911,-9.004916,16.023612
52,10.385564,6.075695,0.358138,0.059337,-3.684517,-3.120700,-5.147881,-8.927953,16.023612
53,10.585286,5.952218,0.367416,0.033568,-3.853175,-3.413202,-4.488599,-8.861935,16.023612
54,10.785009,5.822348,0.370813,-0.000133,-4.001604,-3.706248,-3.767443,-8.720612,16.023612
55,10.984731,5.685828,0.366986,-0.040237,-4.128135,-3.999132,-2.966720,-8.429949,16.023612
56,11.184454,5.541144,0.355108,-0.081722,-4.230836,-4.290958,-2.117177,-8.015002,16.023612
57,11.384176,5.386818,0.335107,-0.120354,-4.307370,-4.580695,-1.256955,-7.553124,16.023612
58,11.583898,5.222586,0.307385,-0.155629,-4.355032,-4.867099,-0.399254,-7.085222,16.023612
59,11.783621,5.049218,0.272314,-0.189808,-4.370897,-5.148639,0.456055,-6.604668,16.023612
60,11.983343,4.867746,0.229814,-0.225576,-4.351921,-5.423449,1.304755,-6.084006,16.023612
61,12.183065,4.678861,0.179336,-0.263707,-4.294918,-5.689253,2.136450,-5.513293,16.023612
62,12.382788,4.483265,0.120351,-0.302819,-4.196494,-5.943245,2.946704,-4.905809,16.023612
